Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
1xn,,ADC,77,48.1%,4.2,3.7,2.2,5.5,9.2,434,67.3%,29,681,1.18,0.4,0.38,0.12,47,-,-,-,-,-,-
5Kid,,ADC,49,18.4%,2.5,3.7,3.2,4.2,8.9,413,70.5%,29.3,637,1.43,0.57,0.37,0.18,231,12,328,28.6%,10.2%,2,5
AKLASS,,ADC,21,61.9%,5.5,5.8,2,5.4,8.6,439,71.4%,27.7,702,1.19,0.46,0.29,0.13,144,16,95,19%,4.8%,1,1
Able,,ADC,55,43.6%,3.3,3.1,2.5,4.9,9.3,430,67.8%,29.2,671,1.16,0.24,0.47,0.07,-374,-,-,-,-,-,-
Abner,,ADC,27,29.6%,2.7,3.3,2.8,4.3,8.7,402,66.7%,26.6,596,0.69,0.25,0.21,0.01,-385,-4,-191,11.1%,3.7%,0,2
Ace0,,ADC,20,55%,3,2.9,3.2,6.6,8.2,397,71%,21.6,532,1.28,0.45,0.32,0.15,-385,-4,-18,25%,15%,0,2
Adryh,,ADC,7,28.6%,2.2,3,3.9,5.6,9.1,413,60.2%,25.4,673,0.97,0.29,0.28,0.06,-472,3,-140,14.3%,28.6%,0,-
Aeon,,ADC,41,53.7%,5,4.5,2.3,6.8,7.9,418,72.7%,26.9,743,01.02,0.4,0.22,0.08,-3,-3,33,12.2%,0%,0,11
Aetinoth,,ADC,57,50.9%,5.2,5,2,5.6,8.7,438,71.5%,28.7,706,1.2,0.47,0.28,0.11,16,-1,-36,31.6%,7%,0,7
Afriibi,,ADC,36,58.3%,3.9,4.7,2.5,5.3,8.9,443,64.8%,26.7,758,0.86,0.32,0.19,0.08,291,1,29,13.9%,11.1%,0,6
Aggress1on,,ADC,14,21.4%,3.6,4.4,2.6,4.9,8.6,421,77.3%,36.2,893,1.12,0.37,0.27,0.06,413,10,341,35.7%,0%,0,2
Ahn,,ADC,85,45.9%,3.7,4.6,2.7,5.3,8.8,441,77.7%,29.7,716,1.25,0.44,0.39,0.14,195,-,-,-,-,-,-
Aiming,,ADC,116,53.4%,6.6,5,1.5,4.8,10,471,71%,30.1,719,1.52,0.5,0.49,0.1,378,8,314,26.7%,2.6%,2,10
Ajuxsy,,ADC,13,0%,1.1,2.5,5,3.1,8,381,64.7%,24.8,496,0.67,0.23,0.19,0.04,-952,5,-137,0%,0%,0,2
Aliplane,,ADC,14,57.1%,5.5,4.1,2.2,8,6.9,404,64.1%,22,557,01.09,0.41,0.25,0.07,-108,-13,-304,28.6%,7.1%,0,2
Alternative,,ADC,1,100%,5.8,6,4,17,7.2,457,92%,14.6,460,1.25,0.45,0.26,0.2,-321,-11,-384,100%,0%,0,-
Andariel,,ADC,34,20.6%,2.8,3.7,2.7,3.9,9,421,68.3%,24.7,547,1.13,0.36,0.31,0.12,29,0,149,26.5%,5.9%,0,1
Antonio,,ADC,27,37%,4.2,4.5,2.3,5.3,8.9,424,68.3%,27.6,667,0.81,0.33,0.18,0.05,-161,-3,52,18.5%,7.4%,1,3
Aomine,,ADC,32,50%,5.2,4.7,2.1,6.1,9.6,447,65.8%,29.1,763,01.07,0.35,0.35,0.1,520,5,176,43.8%,3.1%,0,4
Araignee,,ADC,15,53.3%,4.4,4.5,2.6,6.8,8.6,425,67.9%,28.2,791,0.67,0.22,0.12,0.03,90,3,-81,40%,0%,0,1
Array,,ADC,28,60.7%,5.3,4.6,2,6,7.9,416,61.8%,25.2,653,1.33,0.55,0.32,0.15,-17,-5,-256,17.9%,10.7%,1,10
Artemis,,ADC,75,45.3%,4.2,4.4,2.1,4.5,9.7,446,64.3%,27.5,651,1.14,0.41,0.37,0.15,111,6,102,37.3%,14.7%,0,8
Assum,,ADC,82,39%,3.8,3.7,2.4,5.2,8.8,420,67.9%,27.1,619,0.96,0.32,0.28,0.1,37,-,-,-,-,-,-
Asza,,ADC,4,25%,1.6,3.3,4,3.3,8.2,411,61.5%,24.9,529,1.36,0.54,0.25,0.13,151,19,238,25%,25%,0,-
Attila,,ADC,26,30.8%,4.1,4,2.3,5.3,9.6,441,73.2%,28.5,721,0.99,0.27,0.35,0.03,-232,0,-68,19.2%,7.7%,0,-
Avarice,,ADC,44,56.8%,6.3,4.3,1.7,6.2,8.4,425,71.8%,27.8,711,1.27,0.42,0.33,0.07,19,-3,56,25%,4.5%,0,2
Avra,,ADC,60,71.7%,4.6,5.6,2.6,6.4,8.5,459,62.6%,26.1,729,1.37,0.47,0.31,0.09,319,-6,-157,30%,6.7%,1,18
