Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
113,,JUNGLE,60,66.7%,3.4,2.9,3.8,10.3,5.5,348,76.2%,16.3,477,1.25,0.28,0.3,0.25,138,-2,-56,36.7%,15%,0,6
4ever,,JUNGLE,2,50%,3.5,10,4,4,6.8,461,60.5%,31,835,0.84,0.32,0.08,0.19,554,2,51,50%,0%,0,3
665,,JUNGLE,78,53.8%,2.8,3.5,4.1,8.2,6,362,68.2%,16.2,488,1.47,0.44,0.34,0.29,17,1,23,33.3%,16.7%,0,12
958922,,JUNGLE,21,52.4%,2.9,2.1,4,9.5,5.8,343,75.2%,14.5,346,01.09,0.24,0.26,0.15,-118,1,-150,14.3%,9.5%,0,-
9God,,JUNGLE,2,0%,1.3,3,4.5,3,5.4,319,78.4%,18.1,360,1.22,0.3,0.22,0.38,366,2,133,0%,0%,0,-
AHaHaCiK,,JUNGLE,18,38.9%,2.6,2.4,3.9,7.8,4.9,313,72.3%,16.1,392,1.42,0.37,0.33,0.28,-495,-9,-501,27.8%,5.6%,0,3
AKi,,JUNGLE,100,50%,3.6,2.2,2.5,6.8,6,341,68.1%,13.3,339,1.47,0.42,0.32,0.2,-167,-,-,-,-,-,-
Abow,,JUNGLE,12,8.3%,1.7,3.1,4.3,4.3,5.7,338,71.3%,16.2,356,1.17,0.24,0.28,0.19,-406,-7,-434,16.7%,0%,0,3
Abyss,,JUNGLE,6,0%,1,1.7,4.5,2.7,5.9,317,62.1%,18.5,400,1.22,0.26,0.33,0.27,-465,-12,-578,50%,16.7%,0,-
Adii,,JUNGLE,51,56.9%,2.5,2.5,4.2,7.9,5.9,343,71.3%,15.9,412,1.45,0.37,0.33,0.29,-17,2,24,35.3%,17.6%,0,7
Aegis,,JUNGLE,64,60.9%,3.5,2.8,3.1,8.2,6,346,71.4%,15.6,378,1.21,0.3,0.27,0.22,143,2,193,40.6%,10.9%,0,3
Afroboi,,JUNGLE,55,45.5%,2.7,2.6,3.7,7.4,5.3,331,66.9%,13.4,330,1.25,0.21,0.31,0.19,-221,-2,-192,23.6%,10.9%,0,8
Aincardz,,JUNGLE,18,33.3%,2,2.2,4.2,6.3,5.4,318,72.6%,15.3,364,1.34,0.3,0.33,0.24,-292,-11,-420,44.4%,16.7%,0,2
Ajwad,,JUNGLE,9,44.4%,2.3,1.8,4,7.4,6.6,355,69.5%,12.6,276,1.23,0.15,0.37,0.11,189,11,329,33.3%,22.2%,0,2
Akabane,,JUNGLE,8,37.5%,3,2.8,3.1,6.8,5.4,326,72.5%,12.5,269,1.41,0.42,0.28,0.36,-85,3,89,25%,12.5%,0,-
Alba,,JUNGLE,16,50%,2.3,3.3,3.9,5.7,6.3,354,65.7%,17.6,396,1.15,0.15,0.35,0.07,-30,10,132,18.8%,18.8%,0,1
Alex234,,JUNGLE,25,20%,1.8,1.7,4.4,6.1,5.1,311,64.6%,12.7,288,1.19,0.29,0.25,0.25,-477,-6,-368,28%,4%,0,-
Ancrath,,JUNGLE,7,57.1%,3.5,3.3,3.1,7.9,5.9,343,73%,14.4,352,1.52,0.3,0.37,0.23,320,4,397,42.9%,14.3%,0,1
Anonymouss,,JUNGLE,41,58.5%,3.5,2.8,2.7,6.7,6,351,70.6%,15.1,369,1.41,0.35,0.32,0.39,141,6,145,36.6%,9.8%,0,-
Aras,,JUNGLE,6,66.7%,4,6.3,3.7,8.2,6.5,420,62.5%,26.2,777,0.95,0.28,0.12,0.15,-103,19,491,33.3%,0%,0,3
Armao,,JUNGLE,29,24.1%,2.5,1.4,2.7,5.1,5.8,315,70.1%,13.7,313,1.18,0.32,0.26,0.21,-80,-3,-148,34.5%,10.3%,0,2
Artun,,JUNGLE,21,52.4%,3.3,1.8,3.3,9.1,5.4,323,73.2%,11.3,259,1.6,0.2,0.22,0.16,-253,-7,-115,33.3%,0%,0,-
Balyy,,JUNGLE,41,51.2%,3.5,3.7,3.2,7.5,6.4,369,73.8%,20.4,509,1.23,0.2,0.32,0.19,278,5,254,24.4%,12.2%,0,8
Bambii,,JUNGLE,18,33.3%,2.3,2.5,3.8,6.5,5.8,345,68.1%,12.9,296,1.1,0.3,0.18,0.19,-95,-3,-275,27.8%,0%,0,2
Bananiasty,,JUNGLE,14,21.4%,2.1,1.2,4.3,7.7,4.7,301,69.8%,15,285,0.94,0.17,0.25,0.15,-904,-21,-717,21.4%,21.4%,0,2
Bartholdy,,JUNGLE,14,50%,2.8,2.7,4.1,9,5.5,329,65.3%,13.9,369,1.36,0.26,0.31,0.15,-316,-14,-399,14.3%,14.3%,0,1
BeanJ,,JUNGLE,28,60.7%,3,2.6,3.9,9.1,5.3,338,71.3%,13.7,319,1.54,0.5,0.34,0.41,209,-3,64,32.1%,3.6%,0,6
Beichuan,,JUNGLE,77,48.1%,3.4,2.8,2.9,7.2,6.8,370,76.2%,20,493,1.58,0.46,0.38,0.19,319,-,-,-,-,-,-
Belit,,JUNGLE,36,41.7%,3.4,2.6,3.1,8,5.5,335,73.3%,16.5,403,1.36,0.32,0.3,0.28,-24,-3,-171,44.4%,5.6%,0,2
Bitse,,JUNGLE,21,47.6%,3.8,3,2.6,7.1,6.2,359,66.8%,16.5,444,01.04,0.21,0.2,0.14,-43,-2,-39,42.9%,19%,0,4
Blaber,,JUNGLE,47,55.3%,3.5,2.4,2.6,6.8,6.6,352,75.6%,17.3,410,1.54,0.37,0.37,0.25,310,9,379,40.4%,4.3%,0,7
Blueboar,,JUNGLE,14,35.7%,2.5,1.9,4.4,9.4,4.9,311,85.4%,15.9,366,01.05,0.21,0.19,0.18,-503,-16,-662,28.6%,21.4%,0,-
Bo,,JUNGLE,18,22.2%,1.7,2.8,4.8,5.3,6.1,337,71.2%,17.8,384,1.33,0.33,0.35,0.3,88,7,255,38.9%,22.2%,0,1
Boby,,JUNGLE,1,100%,20,5,1,15,5.3,388,80%,15,469,1.38,0.51,0.18,0.44,-108,-16,-721,0%,100%,0,-
Boukada,,JUNGLE,78,53.8%,3.9,1.9,2.5,7.9,5.4,321,71.4%,15,389,1.33,0.32,0.29,0.22,-158,-5,-109,34.6%,10.3%,0,4
