Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
909,,MID,5,40%,3.4,2.2,2.2,5.2,8.2,364,77.1%,24.4,553,-,-,-,-,-,-,-,-,-,-,-
0din,,MID,11,36.4%,2.3,2.5,3.9,6.4,7.9,377,48.7%,19,450,1.12,0.45,0.23,0.16,-320,-4,-183,18.2%,18.2%,0,2
1116,,MID,61,41%,3.4,3.3,2.8,6.3,8.6,404,73.4%,28,712,1.19,0.48,0.25,0.23,11,0,-11,29.5%,4.9%,0,15
6ax,,MID,30,63.3%,3.6,4.1,2.6,5.3,9.1,433,67.7%,27.7,716,0.95,0.35,0.17,0.14,-9,4,-152,16.7%,13.3%,0,12
APA,,MID,78,62.8%,4.1,4.4,2.5,5.7,9.2,453,66.7%,30.3,791,1.47,0.55,0.28,0.19,274,1,152,15.4%,5.1%,1,25
Abbedagge,,MID,38,73.7%,5.8,4.9,2.1,7.3,9,449,67.2%,27.8,821,1.31,0.46,0.29,0.21,413,6,289,18.4%,5.3%,0,9
Ablazeolive,,MID,57,54.4%,3.8,4.4,2.7,5.8,9,430,69.7%,29.5,786,1.14,0.42,0.23,0.15,130,4,10,15.8%,0%,0,17
Acee,,MID,55,30.9%,3.2,3.2,2.7,5.4,8.5,393,63.6%,26.6,644,1.14,0.48,0.19,0.21,-449,-8,-251,14.5%,1.8%,0,10
Adasz,,MID,14,35.7%,3.1,3.3,2.6,4.6,8.1,382,54.3%,24.8,548,1,0.45,0.09,0.11,-948,-14,-435,0%,0%,0,5
AdyTheKid,,MID,14,42.9%,2.9,3.1,2.9,5.3,9.1,433,59%,21.2,477,0.86,0.19,0.24,0.06,-93,-2,-122,35.7%,0%,0,9
Ag0nypain,,MID,14,21.4%,2.1,1.9,3.1,4.8,8.3,371,59.6%,24.4,498,0.97,0.45,0.14,0.14,-560,-11,-584,0%,14.3%,0,2
Air,,MID,27,40.7%,3.3,4.1,3,5.7,9.4,432,62.5%,29.9,772,01.05,0.32,0.23,0.08,392,7,296,11.1%,3.7%,0,12
Aithusa,,MID,31,22.6%,2.7,3.6,3.3,5.4,8,385,72.6%,29.1,655,1.27,0.51,0.26,0.24,-281,-11,-250,22.6%,9.7%,0,4
Akashii,,MID,42,52.4%,4.1,4,2.5,6.4,8.9,427,62.7%,27.1,720,1.16,0.42,0.24,0.15,6,-1,-22,9.5%,4.8%,0,7
Alix,,MID,62,54.8%,2.4,4.4,4,5.2,8.6,436,56.2%,25.9,713,0.83,0.3,0.19,0.07,12,0,15,11.3%,17.7%,0,40
Aloned,,MID,5,60%,2.6,3.4,3,4.4,9.6,437,46%,25.5,573,1.67,0.55,0.37,0.11,-97,1,-3,0%,0%,0,2
Amarizo,,MID,4,25%,2.3,2.5,3,4.3,9.3,414,41%,24.6,485,0.58,0.34,0.1,0.01,-1570,-12,-879,0%,25%,0,1
Angel,,MID,72,45.8%,5.1,3.1,1.7,5.7,9.1,419,71.2%,26,605,1.49,0.56,0.37,0.21,-61,-,-,-,-,-,-
Annie Bot,,MID,11,27.3%,1.9,2.4,3.8,4.9,8.1,378,56.4%,23.6,525,01.01,0.46,0.15,0.11,-663,-9,-371,0%,0%,0,1
Anyyy,,MID,49,49%,6,3.6,1.8,6.9,8.8,413,70.5%,27.4,633,01.08,0.47,0.17,0.16,111,4,262,18.4%,2%,0,5
Aqua2,,MID,3,0%,1.7,1.7,3.7,4.7,7.4,331,45.7%,16.8,381,0.78,0.4,0.09,0.08,-902,-27,-890,0%,0%,0,1
Aress,,MID,71,62%,5.2,4.7,2,5.7,9.6,462,64.5%,24.6,632,1.41,0.48,0.33,0.16,384,6,228,23.9%,2.8%,0,20
