Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
225,,SUPPORT,2,100%,6.8,0,2,13.5,1.2,266,66.3%,6.6,170,3.23,1.81,0.43,0.38,82,-5,-2,50%,0%,0,-
ASM,,SUPPORT,11,27.3%,2.6,0.6,3.1,7.5,1,234,64.9%,7.3,158,2.74,1.18,0.38,0.21,-106,-4,-91,18.2%,0%,0,-
Abagnale,,SUPPORT,37,32.4%,1.8,0.9,5.2,8.7,1.1,245,71%,6.9,164,3.56,02.03,0.42,0.53,5,2,-145,27%,10.8%,0,-
Ackerman,,SUPPORT,74,66.2%,5.4,1.2,2.4,11.8,1.6,278,75.6%,10.3,269,3.29,1.65,0.42,0.45,250,2,387,29.7%,13.5%,0,1
Acorderr,,SUPPORT,52,57.7%,2.6,1.1,3.6,8.4,1.4,255,67.2%,7.6,183,3.4,1.53,0.46,0.32,182,2,236,25%,19.2%,0,-
Advienne,,SUPPORT,10,50%,2.7,1,3.6,8.6,0.8,237,65.2%,7.1,206,3.4,1.54,0.44,0.45,-263,-6,-212,10%,10%,0,-
Aglaro,,SUPPORT,14,42.9%,2.6,0.6,3.8,9.4,1.3,245,70.2%,7.6,186,3.52,1.56,0.54,0.48,-122,-1,252,35.7%,0%,0,-
Akutsune,,SUPPORT,16,18.8%,2.6,0.8,3.9,9.5,1.1,243,81.4%,11.2,259,2.94,1.5,0.36,0.24,-6,0,317,43.8%,25%,0,1
Aladoric,,SUPPORT,35,60%,3.2,0.6,3.7,11.4,1.1,257,69.9%,7.4,208,3.13,1.66,0.3,0.39,-175,-9,-179,37.1%,5.7%,0,-
Alaric,,SUPPORT,32,59.4%,2.7,1.1,4.5,11,1.1,259,65.1%,7.3,224,2.98,1.47,0.39,0.23,41,0,-104,34.4%,12.5%,0,2
Algos,,SUPPORT,15,73.3%,4.9,0.5,2.5,11.9,1,252,64.8%,6.4,185,3.17,1.61,0.32,0.55,-55,1,102,20%,13.3%,0,1
Alive,,SUPPORT,7,0%,1.3,1,4.3,4.7,2,241,73.4%,7.6,184,2.76,1.41,0.41,0.43,-337,-1,127,0%,0%,0,-
Alphaa,,SUPPORT,27,33.3%,2.3,0.5,4,8.6,1.3,236,67.5%,8,183,3.2,1.55,0.39,0.37,-10,3,-17,25.9%,7.4%,0,-
Alvaro,,SUPPORT,77,45.5%,2.9,0.7,3.6,9.9,1.3,258,73.9%,8,188,3.5,1.82,0.48,0.49,179,3,12,39%,14.3%,0,-
Andil,,SUPPORT,80,46.3%,2.2,0.5,3.7,7.7,1.3,246,72.9%,8.4,199,3.15,1.64,0.42,0.37,-160,-4,-130,25%,16.3%,0,1
Antos,,SUPPORT,2,50%,2.8,0.5,3,8,0.9,236,41.7%,5.4,131,2.73,1.39,0.34,0.23,-1128,-4,-839,0%,0%,0,-
Arding,,SUPPORT,22,22.7%,1.9,0.9,4.8,8.2,1.5,247,73.3%,8.5,195,3.34,1.84,0.43,0.47,-358,-2,-353,27.3%,13.6%,0,1
Astaa,,SUPPORT,10,20%,2.8,0.7,3.1,8,1.3,248,71.4%,11.3,245,3.17,1.91,0.39,0.43,-31,4,140,20%,10%,0,-
Astalia,,SUPPORT,15,20%,1.9,0.8,4.4,7.7,1.1,247,69.7%,10.4,244,2.62,1.19,0.28,0.23,-138,-2,-280,20%,13.3%,0,-
Atat,,SUPPORT,64,70.3%,3.6,1.4,3.7,11.9,1.4,275,69.6%,8.8,233,2.73,1.18,0.36,0.26,190,4,112,17.2%,7.8%,0,1
Azhidal,,SUPPORT,3,66.7%,2.2,1.3,6,12,1,248,47.5%,8.4,260,2.59,01.06,0.23,0.25,-189,6,-84,0%,0%,0,-
B Butcher,,SUPPORT,44,56.8%,3.4,0.9,3.7,11.9,1.1,263,73.3%,7.4,181,3.54,1.64,0.54,0.32,34,-5,-99,29.5%,13.6%,0,-
Bananitoo,,SUPPORT,32,46.9%,3.5,1.2,3.3,10.5,1.1,254,72.6%,7.6,197,2.93,1.35,0.37,0.32,22,-3,56,25%,9.4%,0,1
Banino,,SUPPORT,2,0%,1.3,0,3.5,4.5,0.9,211,75%,8.6,181,3.27,1.9,0.37,0.37,-271,-3,-35,0%,50%,0,-
Batuuu,,SUPPORT,51,39.2%,2.2,1,4.5,9,1.2,253,76.1%,8.4,190,3.15,1.57,0.39,0.37,-11,1,-196,35.3%,19.6%,0,3
Baul,,SUPPORT,28,42.9%,3,2,3.9,9.6,2.1,291,70.2%,13.9,353,03.06,1.36,0.43,0.17,444,11,258,21.4%,7.1%,0,1
Baula,,SUPPORT,15,46.7%,2.9,0.9,3.5,9.1,1.1,243,68.9%,7.5,166,3.54,02.09,0.44,0.42,-141,-1,-217,20%,6.7%,0,-
Baut,,SUPPORT,106,52.8%,3.4,0.8,2.6,8,2,256,69.4%,8.1,189,3.2,1.8,0.4,0.54,-5,10,195,31.1%,15.1%,0,2
BeRr,,SUPPORT,35,42.9%,2.5,0.8,3.9,8.9,1.3,251,72.9%,6.6,178,3.43,1.71,0.53,0.49,9,3,-106,25.7%,11.4%,0,-
Benaset,,SUPPORT,19,63.2%,3,1.2,4.3,11.4,0.9,258,66.9%,6.3,190,3.49,1.83,0.36,0.5,-34,-1,-129,26.3%,26.3%,0,2
Benvi,,SUPPORT,31,67.7%,3.1,1.5,4,11,1.2,279,65.5%,10.3,288,3,1.34,0.43,0.32,77,-5,-78,32.3%,6.5%,0,3
Beplush,,SUPPORT,35,54.3%,3.2,1.1,3.9,11.5,1.8,273,70.7%,10.8,270,2.8,1.36,0.33,0.44,183,4,243,25.7%,14.3%,0,1
Bergmoon,,SUPPORT,16,25%,3.1,1,3.5,9.8,1.3,254,78%,8.9,209,2.76,1.27,0.27,0.28,-165,-22,-95,31.3%,6.3%,0,-
BeryL,,SUPPORT,105,52.4%,3.3,1.1,3,8.7,1.9,266,72.6%,9.3,220,3.29,1.62,0.51,0.49,197,7,275,28.6%,14.3%,0,4
Bible,,SUPPORT,27,55.6%,3.1,0.8,3.3,9.4,1.6,259,70.7%,6.8,176,3.25,1.67,0.44,0.44,-39,1,-27,25.9%,22.2%,0,2
Bie,,SUPPORT,79,63.3%,4.6,1.5,2.6,10.4,1.4,274,70.3%,9.6,256,3.97,2.24,0.58,0.44,143,-2,46,34.2%,8.9%,0,4
Biskoo,,SUPPORT,14,7.1%,1.4,0.4,4.1,5.5,1.1,232,64.5%,8.5,145,03.08,1.67,0.35,0.38,-610,-32,-496,50%,14.3%,0,-
Boby,,SUPPORT,2,50%,0.8,0,6.5,5,2.6,239,53.3%,7.2,155,1.21,0.55,0.05,0.14,292,32,224,0%,50%,0,-
Bolyy1,,SUPPORT,55,52.7%,2.6,0.6,4,9.8,1.2,244,73.3%,7.2,179,3,1.5,0.35,0.3,-136,-4,-224,47.3%,5.5%,0,-
Bounty,,SUPPORT,45,55.6%,2.7,0.8,4,10.2,1,244,73.5%,6.9,160,3.42,1.84,0.4,0.5,-99,-7,-320,28.9%,8.9%,0,1
Breezy,,SUPPORT,54,38.9%,2.8,0.8,3.4,8.7,1.4,249,72.9%,7.2,170,3.16,1.62,0.4,0.35,112,5,187,29.6%,14.8%,0,2
Bruno,,SUPPORT,1,0%,5.7,0,3,17,0.9,250,81%,6.1,169,2.74,1.23,0.28,0.2,752,5,1529,100%,0%,0,-
Bulecha,,SUPPORT,49,49%,3,0.9,3.4,9.4,1.4,253,66.9%,7.2,165,3.11,1.66,0.35,0.48,-23,2,70,26.5%,18.4%,0,-
Busio,,SUPPORT,74,60.8%,3.6,1,3,9.6,1.6,257,70.2%,9.1,226,3.37,1.82,0.43,0.38,17,2,86,21.6%,20.3%,0,1
Cadence,,SUPPORT,2,0%,1,0.5,5,4.5,1.2,217,53.4%,8.2,167,2.79,1.63,0.2,0.41,-82,5,2,0%,50%,0,-
Calmsky,,SUPPORT,28,32.1%,2.2,1,4.3,8.6,1,241,66.3%,9.8,222,03.06,1.6,0.29,0.41,-109,-6,-57,32.1%,3.6%,0,2
Career,,SUPPORT,44,45.5%,3.6,1.5,2.8,8.7,1.7,276,75.2%,11.8,301,3.78,1.8,0.67,0.35,10,-4,25,13.6%,11.4%,0,6
Carry,,SUPPORT,82,62.2%,3.1,1,3.6,10.2,1.3,264,69.2%,8.2,214,3.54,1.94,0.41,0.45,196,1,121,26.8%,11%,0,3
Cavalo,,SUPPORT,36,33.3%,1.8,0.9,4.3,6.6,1.8,252,69.7%,8.2,176,3.25,1.61,0.53,0.46,24,8,-33,25%,13.9%,0,1
Centu,,SUPPORT,19,42.1%,2.3,1.3,4.4,8.6,1.1,252,73.4%,7.5,192,3.34,1.62,0.46,0.39,107,0,-55,26.3%,15.8%,0,1
Ceos,,SUPPORT,44,45.5%,2.9,0.7,3.2,8.4,1.6,246,66.2%,7.3,169,3.38,1.75,0.44,0.49,-84,5,21,20.5%,18.2%,0,1
Cerecof,,SUPPORT,18,50%,3.4,0.8,3.3,10.4,1,252,75.2%,7.7,191,2.92,1.54,0.25,0.41,-144,-3,-106,16.7%,33.3%,0,-
