Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
1Jiang,,TOP,97,60.8%,3.5,3.4,2.3,4.4,8.4,408,56%,22.1,580,01.08,0.41,0.19,0.2,333,9,255,21.6%,10.3%,0,44
225,,TOP,1,0%,1.2,3,5,3,1.9,294,75%,20.4,591,1.99,01.02,0.22,0.09,-2397,-84,-3226,0%,0%,0,-
23Nino,,TOP,12,33.3%,1.8,2.2,3.3,3.8,7.9,383,53.9%,23.4,544,0.84,0.34,0.14,0.06,-709,-15,-768,8.3%,0%,0,2
2T,,TOP,20,0%,1,2.4,4.9,2.7,7.8,362,42%,22.9,492,01.05,0.5,0.15,0.26,-555,-10,-338,5%,15%,0,11
369,,TOP,131,69.5%,3.4,3,2.3,4.9,8.3,405,53.9%,21.2,560,0.97,0.36,0.15,0.14,80,6,478,1.5%,0.8%,0,7
ACD,,TOP,42,47.6%,2.2,3.2,4,5.5,7.8,405,55.4%,27.3,691,01.03,0.38,0.17,0.1,198,4,-71,9.5%,19%,0,25
ADD,,TOP,15,46.7%,1.8,2.3,4.1,5.3,7.3,373,49.9%,23.6,522,1.23,0.47,0.23,0.12,-251,-6,-445,26.7%,13.3%,0,10
APP,,TOP,14,35.7%,2.4,2.6,3.3,5.1,7.1,368,51.6%,23.2,514,0.88,0.32,0.11,0.12,-66,-3,-57,7.1%,7.1%,0,3
Acce,,TOP,30,26.7%,2,1.9,2.9,3.7,7.8,366,44.3%,20,428,0.93,0.36,0.15,0.16,-201,-5,-117,10%,6.7%,0,6
Achille,,TOP,14,21.4%,1.8,2.9,3.7,3.8,6.6,347,48%,22.4,463,0.61,0.3,0.1,0.01,-520,-16,-86,7.1%,0%,0,4
Adam,,TOP,76,57.9%,3.1,2.6,2.6,5.6,7.6,386,58.5%,20.1,464,1.13,0.42,0.22,0.22,-18,-5,-169,26.3%,3.9%,1,33
Addusto,,TOP,24,58.3%,1.9,2,3.4,4.4,8.1,389,36.6%,19.1,467,0.94,0.33,0.12,0.14,-298,-1,-196,0%,20.8%,0,11
Adiss,,TOP,35,45.7%,3,2.5,2.3,4.5,7.7,365,46.5%,22.3,542,0.9,0.38,0.1,0.1,-263,-7,25,11.4%,5.7%,0,18
Ady,,TOP,6,16.7%,0.9,1.7,4.7,2.3,7.7,340,32%,26.6,488,01.05,0.34,0.25,0.18,-307,0,-49,0%,33.3%,0,2
Agresivoo,,TOP,36,25%,1.8,1.8,3.1,3.8,8.2,372,46.9%,22.1,528,01.02,0.46,0.14,0.16,-137,1,145,8.3%,11.1%,1,9
Airen,,TOP,4,25%,2.3,1.8,4.3,8,6.8,365,46.9%,17.7,511,0.61,0.33,0.06,0.05,-375,-15,616,0%,0%,0,3
Ale,,TOP,75,50.7%,2.6,3,2.6,3.9,8.5,408,52.8%,22,543,01.01,0.41,0.18,0.15,243,-,-,-,-,-,-
Ambis,,TOP,5,20%,1.4,1.2,2.6,2.4,7.1,336,38.9%,16.3,314,0.64,0.37,0.07,0.04,-633,-13,-599,0%,0%,0,1
Anathar,,TOP,1,0%,0,0,4,0,6.9,288,0%,19.2,207,0.62,0.31,0,0.09,-2166,-34,-525,0%,100%,0,-
Archfiend,,TOP,2,50%,1.9,3,3.5,3.5,6.6,347,56.6%,24,483,01.04,0.4,0.17,0.03,-1218,-12,-534,0%,0%,0,1
Ariana,,TOP,17,41.2%,1.9,3.1,3.6,4,7.7,376,53.9%,26.2,564,0.7,0.28,0.12,0.04,138,4,107,29.4%,5.9%,0,13
Armut,,TOP,73,58.9%,3.4,3.7,2.7,5.5,8.6,427,55.6%,23.8,606,1.2,0.5,0.17,0.16,404,8,268,12.3%,9.6%,0,17
Avra,,TOP,3,0%,1.5,6.3,6.3,3.3,8.6,477,58.6%,27.8,868,1,0.36,0.18,0.04,1530,13,-285,66.7%,33.3%,0,3
Aytekn,,TOP,33,51.5%,2.3,2.4,3.4,5.5,7,352,53.7%,19.5,470,0.81,0.26,0.15,0.12,-549,-6,-296,21.2%,12.1%,0,10
Azhi,,TOP,89,73%,4.6,3,2,6,7.7,410,55.3%,21.4,574,1.14,0.4,0.21,0.17,584,5,254,24.7%,7.9%,0,20
Badlulu,,TOP,52,46.2%,3.1,2.7,2.6,5.3,8.4,391,55.3%,22.4,525,0.98,0.41,0.15,0.24,-37,2,60,11.5%,17.3%,0,16
Bako,,TOP,6,66.7%,1.8,2.2,4.2,5.2,8,391,38.7%,20.6,596,0.71,0.32,0.11,0.03,-527,-8,-427,16.7%,33.3%,0,1
Bala,,TOP,32,31.3%,1.9,1.9,3.2,4.2,7.5,366,49.9%,20.6,482,01.02,0.45,0.13,0.12,-109,2,-6,9.4%,15.6%,0,8
Banderas,,TOP,47,51.1%,2.8,3.1,3.1,5.7,7.7,385,56.4%,22.1,537,0.98,0.33,0.19,0.13,-89,-1,19,17%,6.4%,0,24
Bayonet,,TOP,22,22.7%,2.4,2.5,2.6,3.6,7.6,372,51.2%,21.7,500,0.74,0.28,0.12,0.03,-198,-7,-120,0%,4.5%,0,4
Berik,,TOP,11,27.3%,1.5,1.9,3.2,2.7,8,362,50%,23.9,520,0.74,0.34,0.11,0.1,-536,-6,-187,18.2%,18.2%,0,2
Betao,,TOP,51,56.9%,3,3.1,2.7,5,8.1,400,55%,22.3,512,1.35,0.47,0.27,0.19,385,5,251,21.6%,9.8%,0,21
Bewbiou,,TOP,39,28.2%,1.8,2,3.9,5.1,7.6,364,48.3%,22.7,538,0.88,0.33,0.14,0.14,-387,-5,-106,5.1%,10.3%,0,5
Bin,,TOP,129,73.6%,3.9,3.2,2.3,5.6,8.5,421,51.8%,20.4,555,0.99,0.33,0.19,0.14,547,-32,-920,0.8%,0%,0,-
BioPanther,,TOP,60,65%,4.3,2.9,2.1,6.2,7.6,383,52.5%,18.7,508,1.11,0.44,0.16,0.17,-98,-2,89,18.3%,10%,0,19
Boda,,TOP,67,64.2%,2.5,4.5,4.1,6,8.1,428,58%,25.6,717,1.15,0.39,0.21,0.18,-57,3,-58,19.4%,16.4%,0,60
Bong,,TOP,82,68.3%,3.6,3.9,3.1,7,7.4,401,58.7%,21.8,570,0.99,0.35,0.16,0.18,370,3,249,25.6%,19.5%,0,38
Brandini,,TOP,2,0%,1.3,1,4,4,6.5,296,35.8%,13.7,357,0.93,0.47,0.18,0.13,-1014,-28,-792,0%,0%,0,-
Breathe,,TOP,108,44.4%,2.2,2.6,3.1,4,8.4,395,52.4%,22.7,521,01.06,0.37,0.2,0.18,-75,-,-,-,-,-,-
BrokenSword,,TOP,12,25%,2.4,2.8,3.2,4.9,7.7,383,52.7%,19.7,485,0.79,0.33,0.1,0.08,86,1,193,8.3%,0%,0,8
Brokenblade,,TOP,107,71%,3.8,3,2.3,6,7.8,399,54.5%,21.6,565,01.09,0.49,0.16,0.17,-22,-1,64,9.3%,16.8%,0,39
Buchi,,TOP,34,47.1%,2.4,2.6,3,4.6,8.4,392,50.3%,25.6,671,1,0.45,0.12,0.12,115,7,276,5.9%,8.8%,0,16
Buggax,,TOP,48,12.5%,1.3,1.9,3.8,3.1,8.2,370,51.4%,24.1,502,0.81,0.33,0.15,0.1,-152,3,-143,10.4%,20.8%,0,17
Built,,TOP,62,54.8%,2.6,2.7,3.1,5.4,7.5,381,44.5%,20.8,577,0.78,0.35,0.11,0.06,-267,-6,-236,9.7%,8.1%,0,23
Burdol,,TOP,86,41.9%,2.2,2.3,3.2,4.8,7.8,371,56.3%,21.8,517,1.13,0.38,0.22,0.25,-473,-,-,-,-,-,-
Bwipo,,TOP,74,60.8%,2.7,3,3.2,5.7,7.9,395,59%,21.1,528,1.1,0.41,0.23,0.17,187,5,97,12.2%,14.9%,0,15
C7,,TOP,18,33.3%,1.8,1.8,3.8,5.1,7,347,42.8%,17.9,415,0.92,0.39,0.13,0.12,-533,-13,-291,11.1%,11.1%,0,5
CPM,,TOP,54,70.4%,4.9,2.3,1.7,5.9,7.5,377,53.3%,16.8,428,0.69,0.22,0.12,0.03,-78,-3,333,13%,13%,0,22
Cabochard,,TOP,18,22.2%,2.1,2.2,2.8,3.7,7.7,361,54.8%,20.4,447,01.01,0.4,0.17,0.16,-44,-4,-113,11.1%,5.6%,0,3
Campello,,TOP,11,9.1%,1.1,1.6,5.3,4.3,6.7,329,49.8%,21.8,451,0.66,0.31,0.1,0.03,-895,-25,-823,18.2%,18.2%,0,2
